Character Name,Scene ID,Setting Name (Location),Action Summary,Anchor Quote
Miralay Haşmet Bey,Ch03_Ayses_House_Gedikpasa,İstanbul: Gedikpaşa: Ayşe'nin Evi,Haşmet Bey visits Ayşe's house in Gedikpaşa and participates in a spirited discussion about the national movement.,Martın onuncu günü idi. Ayşe'nin evinde İhsan ile beraber Haşmet Bey'i de buldum.
Miralay Haşmet Bey,Ch03_Harbiye_Nezareti,İstanbul: Fatih: Beyazıt: Harbiye Nezareti,Haşmet Bey walks with Peyami and İhsan towards Beyazid and stares thoughtfully at the Ministry of War.,Haşmet Bey'in yüzü Beyazid'e gelirken çok endişeli göründü. İkimizin de elini sıkarken Harbiyye Nezâreti' ne gözleri dalmıştı...
Salime Hanım,Ch03_Merchant_House_Moda,İstanbul: Kadıköy: Moda'da Bir Tüccarın Evi,Salime Hanım arrives at the merchant's house in Moda and suggests hiring an English governess instead of Ayşe.,"Nihayet ders odasına Salime Hanım'ı getirmezler mi? Ben başımı eğdim, meşgul oldum. Salime Hanım başımdan bir arşın yüksekten baktı: — Bu çocuğa bir İngiliz mürebbiye alsanıza, dedi."
Zenci Fransız Askerler,Ch03_Istanbul_Restaurant,İstanbul: Sirkeci: İstanbul Lokantası,"Several black French soldiers look through the restaurant window, sticking out their tongues and shaking their fists at İhsan and Peyami.","Birkaç zenci Fransız asker camdan bize bakıyor, kırmızı dillerini çıkarıyorlar, yumruklarını sallıyorlardı."
Peyami Bey,Ch04_Istanbul_Airspace,İstanbul: Fatih: İstanbul Semaları,"During his high fever caused by typhus, Peyami experiences wild hallucinations of flying in an airplane over occupied Istanbul while being chased by enemy planes.",İçinde uzun bir yatak olan bir tayyarede müthiş bir süratle mütemadiyen İstanbul'un üstünde uçuyordum.
Mister Cook,Ch04_Istanbul_Airspace,İstanbul: Fatih: İstanbul Semaları,Mister Cook appears in Peyami's fever dreams as a terrifying figure with bloody eyes and bare teeth staring at him from the clouds.,"Bir defa bulutlar arasında Mister Cook'un çıplak başı, uzun bıyıkları, sarı kocaman dişleri meydanda, küçük gözleri kan içinde bana baktı."
Peyami Bey,Ch04_Peyamis_House_Sisli,İstanbul: Şişli: Peyami's House,"Peyami recovers from his severe illness, receives news about Istanbul's occupation, and sends Ahmet Ağa to search for Ayşe.",Nisanın başında idi. Bir gün Katina'yı çağırdım. Eline birkaç banknot sıkıştırdıktan sonra Hâriciyye'ye kadar gidip bana oradan hademe Ahmed Ağa'yı çağırmasını söyledim.
Peyami'nin Annesi,Ch04_Peyamis_House_Sisli,İstanbul: Şişli: Peyami's House,"She tenderly cares for her sick son Peyami, applying cold compresses to his head and informing him of the date when he wakes up.","--- Martın yirmi altısı oğlum, dedi."
Doktor,Ch04_Peyamis_House_Sisli,İstanbul: Şişli: Peyami's House,The doctor treats Peyami and gently informs him about the British occupation of Istanbul and the deportations to Malta.,"Doktor, bana İstanbul'u İngilizlerin işgal ettiğini, Meclisi Mebusan'ın kapandığını, birçok mebusların da Malta'ya götürüldüğünü..."
Katina,Ch04_Peyamis_House_Sisli,İstanbul: Şişli: Peyami's House,Peyami calls Katina to his room and gives her money to go fetch Hademe Ahmet Ağa from the Ministry of Foreign Affairs.,Bir gün Katina'yı çağırdım. Eline birkaç banknot sıkıştırdıktan sonra Hâriciyye'ye kadar gidip bana oradan hademe Ahmed Ağa'yı çağırmasını söyledim.
Hademe Ahmet Ağa,Ch04_Peyamis_House_Sisli,İstanbul: Şişli: Peyami's House,He visits Peyami under the guise of checking on his health and agrees to track down Ayşe's whereabouts.,Ahmed Ağa güya beni yoklamak için geldiği gün ne kadar sevindim.
Ayşe,Ch04_Ayses_House_Gedikpasa,İstanbul: Fatih: Gedikpaşa: Ayşe'nin Evi,Ayşe is forced to pack her belongings and vacate her home after British soldiers and their translator arrive to seize it.,"Nihayet bizim eve de geldiler. Çarşaflandım, kapıyı açtım."
Sebzeci Zeynep Kadın,Ch04_Ayses_House_Gedikpasa,İstanbul: Fatih: Gedikpaşa: Ayşe'nin Evi,Zeynep arrives at Ayşe's house in the morning to deliver news of the British occupation and the arrest of Turkish figures.,Saat dokuzda Zeyneb geldi. Gece yarısı işgal başlamış olduğunu...
Ermeni Tercüman,Ch04_Ayses_House_Gedikpasa,İstanbul: Fatih: Gedikpaşa: Ayşe'nin Evi,"He proudly accompanies the British soldiers searching and requisitioning Ayşe's house, translating for them.","Bir Ermeni tercüman, bir küme İngiliz askerine tercümanlık ediyor. Ağzı kulaklarına kadar açık, öyle muzaffer sırıtıyor ki..."
Ayşe,Ch04_Harbiye_Nezareti,İstanbul: Fatih: Harbiye Nezareti,Ayşe witnesses the humiliating entry of the British navy into the Ministry of War as Turkish military officers watch helplessly.,Harbiyye Nezâreti'nin meydanında üniformalarıyla büyük küçük rütbeli bütün Nezâret zâbitanı ayakta duruyorlar. İstiklâlimizin bir nevi alemi olan Harbiyye Nezâreti kapısından İngiliz bahriyesi giriyordu.
Miralay Haşmet Bey,Ch04_Harbiye_Nezareti,İstanbul: Fatih: Harbiye Nezareti,Ayşe believes she spots Haşmet Bey among the crowded gatherers outside the Ministry of War but cannot get close.,"Uzaktan Haşmet Bey'i görür gibi oldum, fakat kalabalığa girmek kabil değildi."
Ayşe,Ch04_Direklerarasi,İstanbul: Fatih: Direklerarası,"Ayşe walks through the area, seeing traces of blood on the streets, and inquires about the soldiers who were killed by the British.","Arkadan, Darülfünun'un önünden geçtim. Direklerarası'na doğru sokaklarda küçük kan izleri vardı."
Hamal,Ch04_Direklerarasi,İstanbul: Fatih: Direklerarası,A furious porter explains to Ayşe that British soldiers bayoneted and shot sleeping Turkish soldiers.,"Bir hamala sordum. Gözleri kan içinde, bıyıklarının telleri ayağa kalkmış, etrafına bakınıyordu."
Ayşe,Ch04_Yusuf_Pasa,İstanbul: Yusufpaşa: House of the Assaulted Girls,Ayşe visits the house where she gives lessons and notices that the neighboring house has been violently breached by soldiers.,O gün Yusuf Paşa'daki ders verdiğim eve kadar gittim. Sokaklar perişandı.
Ayşe,Ch04_Gedikpasa_Street,İstanbul: Gedikpaşa: Gedikpaşa Tramvay Caddesi,"Ayşe wanders down the street after being evicted, encounters a distressed mother and child, and helps them hire a carriage.","Küçük bir evin kapısında atılmış bir beşik, kapının yanında çarşafıyla çocuğu kucağında ayakta duran bir genç kadın vardı."
Çocuğu Kucağında Ayakta Duran Genç Kadın,Ch04_Gedikpasa_Street,İstanbul: Gedikpaşa: Gedikpaşa Tramvay Caddesi,She stands weeping in the street with her baby after British soldiers occupied her home while her husband is away fighting.,"Küçük bir evin kapısında atılmış bir beşik, kapının yanında çarşafıyla çocuğu kucağında ayakta duran bir genç kadın vardı."
"Şişman, Kırmızı Yanaklı Oğlan",Ch04_Gedikpasa_Street,İstanbul: Gedikpaşa: Gedikpaşa Tramvay Caddesi,The young woman's dark-eyed infant boy is being held by his mother as they are forced onto the street.,"Çocuk şişman, kırmızı yanaklı bir oğlan, gözleri simsiyah."
Ayşe,Ch04_Ihsaniye_Ferry,İstanbul: Üsküdar: İhsaniye Ferry,"Ayşe accompanies the young mother on the ferry to İhsaniye, comforting her as they look back at the warships in the Bosphorus.",Kadını İhsaniye'ye kadar götürdüm. Vapurda el ele oturduk.
Çocuğu Kucağında Ayakta Duran Genç Kadın,Ch04_Ihsaniye_Ferry,İstanbul: Üsküdar: İhsaniye Ferry,She rides the ferry with Ayşe towards Üsküdar while lamenting their situation and looking at the cannons aimed at Istanbul.,Vapurda el ele oturduk. Boğaziçi'nden İstanbul'a çevrilen toplara baktık.
Ayşe,Ch04_Uskudar,İstanbul: Üsküdar: Seyfi's House,"Ayşe stays hidden at Yüzbaşı Seyfi's house, preparing to escape to Anatolia while meeting Seyfi's family and later greeting Peyami.","Ayşe'yi yer minderi üstünde diz çökmüş, Seyfi'nin annesine kahve pişirir buldum."
Yüzbaşı Seyfi,Ch04_Uskudar,İstanbul: Üsküdar: Seyfi's House,"Seyfi encounters Ayşe at Doğancılar, brings her to his family home to hide, and later coordinates their escape with Peyami.",Doğancılar Meydanı'ndan inerken Mülâzım Seyfi'yi gördüm.
Peyami Bey,Ch04_Uskudar,İstanbul: Üsküdar: Seyfi's House,"After a long search, Peyami finds Seyfi at the Üsküdar pier and joins him to reunite with Ayşe at their safe house.","Uzun bir ıztırâb haftasının sonunda, geç zaman, ben Üsküdar İskelesi'nden vapura binerken lâmbaların ziyâsı altında Seyfi'nin başında siyah bir kalpak, acele ile çıktığını gördüm."
Seyfi'nin Annesi,Ch04_Uskudar,İstanbul: Üsküdar: Seyfi's House,"She hosts Ayşe in her home, where Ayşe helps her by making coffee.","Ayşe'yi yer minderi üstünde diz çökmüş, Seyfi'nin annesine kahve pişirir buldum."
Nine,Ch04_Uskudar,İstanbul: Üsküdar: Seyfi's House,"The elderly grandmother listens to Ayşe's sorrowful stories, prays all night against the occupiers, and later weeps with Peyami.","Dün geceyi nine ile beraber Seyfi'nin odasının karşısındaki odada geçirdim, nineye bütün İzmir'in derdini ve benim derdimi anlattım."
Gündüz Çalışan Adam,Ch04_Uskudar,İstanbul: Üsküdar: Seyfi's House,He works in the garden next door during the day but secretly admits nationalist escapees into his house during the night.,"Gündüz arkasında gecelik entarisi, üstünde kolsuz haydarî bir aba, saçı başı karışık bir adam sebze suluyor."
Üç Kaçacak Genç Zabit,Ch04_Uskudar,İstanbul: Üsküdar: Seyfi's House,They meet with Seyfi and Ayşe to discuss their plans to escape to Anatolia.,Seyfi ile ve diğer üç kaçacak genç zâbitle dün akşam müzakere ettik.
Ayşe,Ch04_Adapazari_Road,Kocaeli: Kandıra: Adapazarı Road,"Disguised as a peasant, Ayşe drives the oxcart and travels through the fields with Peyami and Seyfi.","Seyfi ve ben iki köylü, Ayşe de arkasında siyah yeldirme, öküzleri sürecek, Adapazarı'na geçecektik."
Peyami Bey,Ch04_Adapazari_Road,Kocaeli: Kandıra: Adapazarı Road,"Peyami escapes towards Anatolia with Ayşe and Seyfi, disguised as a villager and taking turns guarding their camp at night.","Seyfi ve ben iki köylü, Ayşe de arkasında siyah yeldirme, öküzleri sürecek, Adapazarı'na geçecektik."
Yüzbaşı Seyfi,Ch04_Adapazari_Road,Kocaeli: Kandıra: Adapazarı Road,"Seyfi travels alongside Ayşe and Peyami, keeping watch and guiding them along the dangerous paths to Adapazarı.","Yıldızların altında, güneşin altında, beyâbân içinde, bazan sürülmüş yeşil tarlaların ortasında mütemadiyen gidiyorduk."
Ayşe,Ch04_Kandira,Kocaeli: Kandıra: Coastline,"Ayşe stands by the oxen in Kandıra, looking out over the sea towards Istanbul with a dry, fiery gaze.","Kandıra'da üçümüz de öküzlerin yanında durduk, denize son defa baktık."
Peyami Bey,Ch04_Kandira,Kocaeli: Kandıra: Coastline,"Peyami stands at Kandıra with Ayşe and Seyfi, weeping as they take their last look at the sea that stretches back to Istanbul.","Kandıra'da üçümüz de öküzlerin yanında durduk, denize son defa baktık."
Yüzbaşı Seyfi,Ch04_Kandira,Kocaeli: Kandıra: Coastline,Seyfi sheds tears at Kandıra alongside Peyami while looking back at the sea for the last time.,"Kandıra'da üçümüz de öküzlerin yanında durduk, denize son defa baktık."
Peyami Bey,Ch05_Anatolian_Villages,Kocaeli: Kandıra: Kandıra Köyleri,"Peyami travels through various Anatolian villages with Ayşe, listening to the stories of previous refugees and observing the tense atmosphere.","Geçtiğimiz köylerde hep daha evvel geçenlerin hikâyelerini dinledik, izlerine bastık."
Ayşe,Ch05_Anatolian_Villages,Kocaeli: Kandıra: Kandıra Köyleri,"Ayşe travels through the Anatolian countryside, initially feeling a slight estrangement but quickly adapting to the revolutionary environment.",Bunlara ilk temas Ayşe'ye zayıf bir yadırgamak hissi verdi. Sonra çarçabuk alıştı.
Peyami Bey,Ch05_Kandira,Kocaeli: Kandıra: A Village in Kandıra,"Peyami Bey reaches a village in Kandıra, where they are met by a supportive nationalist detachment sent to receive them.",Nihayet Adapazarı'na bir konak kalmıştı.
Ayşe,Ch05_Kandira,Kocaeli: Kandıra: A Village in Kandıra,"Ayşe proudly reveals her identity to the rebel detachment, prompting them to respectfully kiss her hand.","Ayşe benim, arkadaşlar, dedi."
Kalpaklı Genç ve Küçük Zabit,Ch05_Kandira,Kocaeli: Kandıra: A Village in Kandıra,"A young officer wearing a kalpak leads a group of riders to meet Peyami and Ayşe, looking for them on behalf of the Geyve forces.","Öndeki, başında kalpağını muhafaza eden genç ve küçük bir zâbitti."
Peyami Bey,Ch05_Adapazari_Road,Sakarya: Adapazarı: Adapazarı Yolu,"Peyami travels along the hazardous road to Adapazarı, surviving an unexpected ambush by bandits in the reeds.",İki tarafı meyilli sırtlarla yükselen bir nevi dere içinden geçiyorduk.
Ayşe,Ch05_Adapazari_Road,Sakarya: Adapazarı: Adapazarı Yolu,Ayşe rides calmly through the territory and later uses her supplies to dress the wound of a soldier injured in the ambush.,"Ayşe hemen kendi yükünü açtırdı; tentürdiyot, pamuk ve sargı çıkardı. Yarayı sardı."
Ahmet Rıfkı,Ch05_Adapazari_Road,Sakarya: Adapazarı: Adapazarı Yolu,Ahmet Rıfkı guides the party and fiercely trades insults with the hidden bandits during the skirmish.,"Ahmed Rıfkı'nın daha yüksek, fakat billûr gibi genç sesi sövdü: — Pez...nkler, gelin de alın bakalım!"
Sazlıktaki Alçak Sesli Çeteci,Ch05_Adapazari_Road,Sakarya: Adapazarı: Adapazarı Yolu,"A low-voiced bandit hides in the reeds, calling out to Ahmet Rıfkı's detachment to lay down their weapons.","Kısık bir ses haykırdı: — Yere yatın, tüfengleri beriye atın!"
Peyami Bey,Ch05_Adapazari_Road_Coffeehouse,Sakarya: Adapazarı: Adapazarı Yolu Üzerindeki Kahvehane,Peyami Bey and his companions take refuge in a dark coffeehouse near Adapazarı to wait for reports from the city.,"Geç zaman, Adapazarı'na bir saat kala bir kahveye geldik ve şehre yaya bir arkadaş gönderdik."
Ayşe,Ch05_Adapazari_Road_Coffeehouse,Sakarya: Adapazarı: Adapazarı Yolu Üzerindeki Kahvehane,"Ayşe passionately defends the irregular forces, viewing them as the crucial first army of national independence.","Bunlar hepsi istiklâlin, İzmir'in askeri, hepsi milletin ilk ordusu!"
Ahmet Rıfkı,Ch05_Adapazari_Road_Coffeehouse,Sakarya: Adapazarı: Adapazarı Yolu Üzerindeki Kahvehane,"Ahmet Rıfkı sits with Ayşe in the coffeehouse, explaining the volatile state of the locals and the threat of attacks.","Ahmed Rıfkı küçük bir iskemleye onun önüne oturmuş, arada bir başını kaldırıp arkasına bakıyor ve konuşuyor."
Yüzbaşı Seyfi,Ch05_Adapazari_Road_Coffeehouse,Sakarya: Adapazarı: Adapazarı Yolu Üzerindeki Kahvehane,"Seyfi doubts the potential of irregular rebels, claiming that a formal army is necessary for actual resistance.","Seyfi şikâyet etti, bana: — Mukavemet bunlarla olmaz. Yalnız ordu ile olur, diyordu."
İri Yarı Anadolu Çavuşu,Ch05_Adapazari_Road_Coffeehouse,Sakarya: Adapazarı: Adapazarı Yolu Üzerindeki Kahvehane,"The large Anatolian sergeant agrees with Seyfi, suggesting that the rebels would disperse at the sight of a few gendarmes.","— Üç jandarma görseler hepsi dağılır. Bunu, bunların arasında eskiden asker iken İstanbul'dan kaçmış ve iltihak etmiş iri bir Anadolu çavuşu söylüyordu."
İhsan,Ch05_Adapazari_Road_Coffeehouse,Sakarya: Adapazarı: Adapazarı Yolu Üzerindeki Kahvehane,"İhsan arrives at the coffeehouse in a tense state, pays deep respect to Ayşe, and coordinates their secret journey to safety.","İhsan, genç Binbaşı, iki süvarisi ile toz içinde yanmış, yavuzlaşmış, nazik yüzü tamamen hakikatin, korkunç mukavemetin tunç kalıbını almış."
Peyami Bey,Ch05_Village_Road,Sakarya: Geyve: Doğançay: Sarılar Köyü,Peyami Bey travels along the road and witnesses a village's panic transform into joy upon identifying İhsan's forces.,"İlk ziyâ karanlığı dağıtmaya ve önümüzde eşkâl seçilmeye başladığı zaman, İhsan da ben de en evvel dilber köylünün siyah yeldirmesini, pembe yemenisini gördük."
İhsan,Ch05_Village_Road,Sakarya: Geyve: Doğançay: Sarılar Köyü,İhsan calms the village's fear and later orders Kezban to return home instead of following them into danger.,"İhsan dörtnal gitti, haykırdı: — Binbaşı İhsan Kuvvetleri, korkmayın!"
Ayşe,Ch05_Village_Road,Sakarya: Geyve: Doğançay: Sarılar Köyü,Ayşe rides silently and later attempts to comfort the weeping Kezban when the girl is ordered to return.,"Ayşe bu genç ıztırâbdan müteessir miydi, bilmiyorum; arabadan atladı geldi, başını okşamak, teskin etmek istedi."
Kezban,Ch05_Village_Road,Sakarya: Geyve: Doğançay: Sarılar Köyü,"Kezban runs after the departing troops, begging to be allowed to fight and serve alongside them.","Döndük, yalın ayak genç bir köylü kız, ağlayarak, ellerini sallayarak bize doğru koşuyordu."
Peyami Bey,Ch05_Sarilar_Village,Sakarya: Geyve: Doğançay: Sarılar Village,"Peyami reflects on the intense days in Sarılar village, assisting with the temporary hospital and observing the local dynamics.",Doğançay'daki Sarılar Köyü'nü düşünüyorum.
Ayşe,Ch05_Sarilar_Village,Sakarya: Geyve: Doğançay: Sarılar Village,Ayşe works at the clinic in Sarılar and spends a mournful night by the body of Ahmet Rıfkı before his burial.,Bütün gece terasta yatan ölünün etrafında Ayşe dolaştı.
Kezban,Ch05_Sarilar_Village,Sakarya: Geyve: Doğançay: Sarılar Village,"Kezban lingers around the hospital to catch sight of İhsan, bringing him fresh milk and fruits.","Evin etrafında kırmızı şalvarlı, rengi belirsiz uzun yazma örtüsüyle her vakit Kezban'ı görüyorum."
Ahmet Rıfkı,Ch05_Sarilar_Village,Sakarya: Geyve: Doğançay: Sarılar Village,Ahmet Rıfkı pays regular visits to Ayşe at the Sarılar terrace until his tragic death on the road.,"Bunlar arasında Ahmed Rıfkı mutlaka her akşamüstü atını söğütlere bağlar, ona gelir."
İhsan,Ch05_Sarilar_Village,Sakarya: Geyve: Doğançay: Sarılar Village,"İhsan visits the terrace to see Ayşe, and despite his internal jealousy, he decides to secure their immediate departure after Ahmet Rıfkı's death.",İhsan girerken daima müteheyyic ve gözleri terastadır.
Köy İmamı,Ch05_Sarilar_Village,Sakarya: Geyve: Doğançay: Sarılar Village,The village imam leads the small congregation to bury Ahmet Rıfkı as Ayşe weeps nearby.,Sabahleyin köyün imamıyla küçük cemaat onu mezarlığa götürürken Ayşe söğütlerin altında bir çocuk gibi hıçkırıyordu.
Peyami Bey,Ch05_Geyve,Sakarya: Geyve: İhsan's House,"Peyami Bey lodges with Ayşe and İhsan in Geyve, discussing her next steps and military arrangements.","Geyve'de Ayşe ile İhsan'ın evine misafir olduk, burası iki odalı bir köy evi idi."
Ayşe,Ch05_Geyve,Sakarya: Geyve: İhsan's House,"Ayşe vents her anger to Peyami, expressing deep frustration at being treated like a sheltered city lady instead of a field nurse.","İhsan beni bu kuvvetlerin arasında istemiyor; İhsan yalnız kalmak, bizim gözlerimizden uzak yaşamak istiyor."
İhsan,Ch05_Geyve,Sakarya: Geyve: İhsan's House,"İhsan, tormented by his feelings, organizes Ayşe's train journey to Eskişehir for her own protection.","İhsan, Ayşe'nin ertesi akşam Lefke'den hareket edecek trenle Eskişehir'e gitmesi lâzım olduğunu ve Cemal'den de Ayşe'yi isteyen bir mektup aldığını söylüyordu."
Ahmet Çavuş,Ch05_Geyve,Sakarya: Geyve: İhsan's House,İhsan arranges for Ahmet Çavuş to escort Ayşe to Eskişehir since she dislikes an excess of protection.,— Ben Ahmed Çavuş'u göndereceğim. Ayşe Hanım fazla muhafaza sevmiyor.
Peyami Bey,Ch06_Geyve,Sakarya: Geyve,"Peyami Bey prepares himself for danger and hardship in Geyve, hoping to earn Ayşe's respect as a brave soldier.",Şimdi ben de Geyve'de Ayşe'nin gözlerinden uzak tehlike mümaresesi yapacağım.
İhsan,Ch06_Geyve,Sakarya: Geyve,"İhsan displays stern command over Peyami and Mehmet Çavuş, ordering them to retrieve hidden weapons in Kandıra.","Şimdi İhsan elimize bir kâğıt veriyor, bizi Saffet Bey'i bulmaya gönderiyordu."
Mehmet Çavuş,Ch06_Geyve,Sakarya: Geyve,Mehmet Çavuş is selected by İhsan for the ammunition retrieval mission due to his expertise in weapon smuggling.,Mehmet Çavuş silâh kaçakçılığında rekor yapmış bir adam olduğu için benim yanıma veriyordu.
Peyami Bey,Ch06_Training_Ground,Sakarya: Geyve: Talimgâh,Peyami endures grueling physical training and horseback maneuvers under İhsan's demanding and mocking supervision.,Ta'lîm-gâhta göremeyeceğim en çetin ve haşin bir ihtilâl ve askerlik tecrübesini burada yapıyordum.
Mehmet Çavuş,Ch06_Training_Ground,Sakarya: Geyve: Talimgâh,"Mehmet Çavuş serves as Peyami's weapons instructor, passing on his experiences from the Macedonian conflicts.",Silâh talimini bana Mehmet Çavuş yaptırıyordu.
Peyami Bey,Ch06_Sarilar_Village,Sakarya: Geyve: Sarılar Köyü,"Peyami travels past Sarılar Village, observing the willow trees and reflecting on the history of Ahmed Rıfkı's forces.",Mehmet Çavuş bana yeşil söğütlerle örülü Sarılar Köyü'nü gösteriyor.
Mehmet Çavuş,Ch06_Sarilar_Village,Sakarya: Geyve: Sarılar Köyü,Mehmet Çavuş points out Sarılar Village and vows to avenge the death of the brave young Ahmed Rıfkı.,Mehmet Çavuş bana yeşil söğütlerle örülü Sarılar Köyü'nü gösteriyor.
Peyami Bey,Ch06_Vacant_Sheepfold,Sakarya: Geyve: Sarılar: Boş Ağıl,Peyami listens to Mehmet Çavuş's dramatic stories of smuggling weapons during the British occupation while resting at the sheepfold.,"Biz de beyliklerimizi bir köşesine yaydık, uzandık."
Mehmet Çavuş,Ch06_Vacant_Sheepfold,Sakarya: Geyve: Sarılar: Boş Ağıl,Mehmet Çavuş details how he forced villagers under threat of force to hide and transport forty carriages of weapons.,"Yanımda birdenbire susan Mehmet Çavuş'un kor gözleri, uzun bıyıkları beyaz ışıklar altında tehlike sezmiş gibi ayakta ve asi."
Peyami Bey,Ch06_Sakarya_River_Crossing,Sakarya: Geyve: Sakarya Nehri,Peyami helps Mehmet Çavuş cross the Sakarya River by hiding him under the hay of a refugee's cart.,Sakarya'yı geçerken Mehmet Çavuş'u bir muhacirin ot yüklü arabasının otları altına sakladık.
Mehmet Çavuş,Ch06_Sakarya_River_Crossing,Sakarya: Geyve: Sakarya Nehri,Mehmet Çavuş successfully crosses the Sakarya River hidden beneath the hay of a passing wagon.,Sakarya'yı geçerken Mehmet Çavuş'u bir muhacirin ot yüklü arabasının otları altına sakladık.
Peyami Bey,Ch06_Kandira,Kocaeli: Kandıra: Flatland,"Peyami stays at Mürsel Ağa's home in a Kandıra village, observing the host's quiet intelligence and his patriotic sons.",En son Sakarya'nın ötesinde bir Kandıra köyünde kaldık.
Mehmet Çavuş,Ch06_Kandira,Kocaeli: Kandıra: Flatland,"Mehmet Çavuş talks passionately about the revolution to the host family, speaking ill of the Sultan's actions.","Sonra Mehmet Çavuş açık Anadolu hitabetine koyduğu biraz biberli, biraz ateşli Rumeli mizâcı ile bunlara ihtilâlden bahsederken..."
Mürsel Ağa,Ch06_Kandira,Kocaeli: Kandıra: Flatland,Mürsel Ağa hosts Peyami and Mehmet Çavuş in his best room and listens carefully to their news of the conflict.,Köyün âyanından Mürsel Ağa'nın evinde misafir olmuştuk.
Mürsel Ağa'nın Oğulları,Ch06_Kandira,Kocaeli: Kandıra: Flatland,"Mürsel Ağa's sons diligently serve the guests in their household while maintaining a quiet, military-like discipline.",En iyi odasını bizi açmıştı ve iki oğlu ile bize hizmet ediyordu.
Mürsel Ağa'nın Yamaçtaki Oğlu,Ch06_Kandira,Kocaeli: Kandıra: Flatland,Mürsel Ağa's son stops Peyami and Mehmet Çavuş on a hillside to warn them about a Circassian village and shares Saffet Bey's location.,Bunlardan çok erken ayrılıp gittikten sonra bu çocuklardan birini yolun yanındaki yamaçta gördük.
Peyami Bey,Ch06_Circassian_Village,Kocaeli: Kandıra: İkizce (Çerkes Köyü),"Peyami rides through the beautiful Circassian village, captivated by its dreamlike architecture and the local inhabitants.","Atımı köye doğru sürdüm ve köyün kırmızı topraklı yolundan, masal evlerine benzeyen evleri arasından geçmeye karar verdim."
Mehmet Çavuş,Ch06_Circassian_Village,Kocaeli: Kandıra: İkizce (Çerkes Köyü),"Mehmet Çavuş anxiously whispers warnings to Peyami, fearing the dangers of passing through the Circassian village.",Mehmet Çavuş burnundan soluyor ve nefes alır gibi bana:
Kızıl Yoldaki Çerkes Adam,Ch06_Circassian_Village,Kocaeli: Kandıra: İkizce (Çerkes Köyü),The tall Circassian man keeping watch slowly paces down the wide red road of the village.,"Solda kırmızı topraklı geniş bir yolda Çerkes kostümüyle ince belli, geniş omuzlu, bülend bir mahlûk etrafı kollayarak yavaş yavaş ilerliyordu."
Balkondaki Çerkes Kızı,Ch06_Circassian_Village,Kocaeli: Kandıra: İkizce (Çerkes Köyü),"The Circassian girl stands silently on a green balcony, looking out into the dim light of the evening.","Ve yolun ağzında dört köşesi de balkonlu bir evden, bu esmer kısık ışıklar arasından bir efsane gibi görünen beyazlı bir kız balkonun yeşil parmaklıklarına dayanmış sükût içinde uzaklara bakıyordu."
Peyami Bey,Ch06_Mosque_Square,Kocaeli: Kandıra: İkizce: Cami Meydanı,"Peyami rides quickly through the dark village square, hearing doors creak open around the mosque.",fakat en nihayette büyücek bir meydanda duran camii geçerken bazı evlerin kapılarının açıldığını duyar gibi olduk.
Mehmet Çavuş,Ch06_Mosque_Square,Kocaeli: Kandıra: İkizce: Cami Meydanı,Mehmet Çavuş navigates the mosque square in the dark alongside Peyami as they try to exit the village quickly.,fakat en nihayette büyücek bir meydanda duran camii geçerken bazı evlerin kapılarının açıldığını duyar gibi olduk.
Peyami Bey,Ch06_Ikizce,Kocaeli: Kandıra: İkizce,Peyami travels to İkizce with Saffet Bey to coordinate the carriage transport for the secret ammunition caches.,"Yürüyelim, İkizce'de misafir oluruz, hem de konuşuruz."
Mehmet Çavuş,Ch06_Ikizce,Kocaeli: Kandıra: İkizce,Mehmet Çavuş raises concerns about the danger of the village but agrees to head to İkizce under Saffet Bey's guidance.,Mehmet Çavuş atıldı:
Saffet Bey,Ch06_Ikizce,Kocaeli: Kandıra: İkizce,"Saffet Bey meets with Peyami and Mehmet Çavuş under the lamp light, detailing the plan to transport thirty carriages of weapons.",Saffet Bey'i odanın ışığında gördüm.
Kara Sakallı Çerkes Ev Sahibi,Ch06_Ikizce,Kocaeli: Kandıra: İkizce,The black-bearded host in a Circassian uniform welcomes the travelers into his clean house.,"Siyah sakallı, çetin yüzlü Çerkes üniformalı ev sahibi bizi karşıladı."
Peyami Bey,Ch07_Sarilar_Village,Konya: Sarılar Köyü,"Peyami Bey rides into Sarılar Village, where he meets Kezban and talks to her about the headquarters before quickly moving on to avoid her yenge.","Seni nasıl olsa alacağız Kezban, fakat ben şimdi Kumandan Bey'in yanından gelmiyorum."
Kezban,Ch07_Sarilar_Village,Konya: Sarılar Köyü,"Kezban waits by a tree in Sarılar, approaches Peyami Bey, and eagerly asks if the Commander wants her to become a soldier.","Kumandan Bey, gayrik beni isteyo değil mi?"
Kezban'ın Yengesi,Ch07_Sarilar_Village,Konya: Sarılar Köyü,"Kezban's yenge calls out angrily from among the trees, yelling at Kezban for interacting with the soldiers.","Ciğerine bit düşesi zilli kine, askerlerle ne ediyon, ha!"
Mehmet Çavuş,Ch07_Sarilar_Village,Konya: Sarılar Köyü,Mehmet Çavuş coordinates ammunition storage with Peyami Bey in Sarılar Village before being told to slip away without Kezban noticing.,Mehmet Çavuş'la uzun bir münakaşadan sonra ceb-hâneyi Sarılar Köyü'nün arkasındaki ağıla yığmaya karar verdik.
