Scene ID,Setting Name,Narrative Weight,Description,Source File
Ch03_Pangalti,İstanbul: Şişli: Pangaltı,Low,"İhsan gets off the tram, declaring he cannot bear the sight of foreign military uniforms any longer and intends to bid farewell to other female acquaintances.",chapter_03.md
Ch04_Direklerarasi,İstanbul: Fatih: Direklerarası,Low,Ayşe witnesses the bloody aftermath of the British soldiers bayoneting the sleeping Turkish guards.,chapter_04.md
Ch04_Gedikpasa_Street,İstanbul: Gedikpaşa: Gedikpaşa Tramvay Caddesi,Low,Ayşe helps a weeping young mother whose husband joined the national resistance to find a carriage.,chapter_04.md
Ch04_Harbiye_Nezareti,İstanbul: Fatih: Harbiye Nezareti,Low,Ayşe observes Turkish military officers standing silently as the British army takes control of the War Ministry.,chapter_04.md
Ch04_Ihsaniye_Ferry,İstanbul: Üsküdar: İhsaniye Ferry,Low,"Ayşe rides the ferry to Üsküdar with the young mother, watching British guns aimed at the city.",chapter_04.md
Ch04_Istanbul_Airspace,İstanbul: Fatih: İstanbul Semaları,Low,Peyami hallucinates flying in a plane with a bed while being hunted by British planes.,chapter_04.md
Ch04_Yusuf_Pasa,İstanbul: Yusufpaşa: House of the Assaulted Girls,Low,Ayşe passes a ransacked house where local girls were assaulted by invading forces.,chapter_04.md
Ch05_Anatolian_Villages,Kocaeli: Kandıra: Kandıra Köyleri,Low,"İstanbul mültecilerinin ve askerlerin geçip gittiği, yerel halkın ürkekçe tarlalarında çalıştığı ve savaş haberlerinin ulaştığı geçiş güzergâhı köyler.",chapter_05.md
Ch06_Kandira,Kocaeli: Kandıra: Flatland,Low,"Peyami and Mehmet Çavuş ride their small local horses through a hot, dusty, and dry flatland flanked by mountains.",chapter_06.md
Ch06_Mosque_Square,Kocaeli: Kandıra: İkizce: Cami Meydanı,Low,They quickly ride past the village mosque as they hear doors beginning to open in the dark.,chapter_06.md
Ch06_Peyamis_House_Sisli,Sakarya: Geyve: Headquarters,Low,"Ihsan visits Peyami in his room at night to check on his health and cover him up, showing a softer, protective side.",chapter_06.md
Ch06_Sarilar_Village,Sakarya: Geyve: Sarılar Köyü,Low,"Mehmet Çavuş points out the willow-covered village of Sarılar, prompting a discussion about Ahmed Rıfkı and Ihsan's strict military leadership.",chapter_06.md
Ch07_Dogancay_Headquarters,Sakarya: Geyve: Doğançay Karargâhı,Low,"Peyami'nin karargâhı bulduğu, askerlerin toplandığı ve ertesi gün Mehmet Çavuş liderliğindeki kağnıların ulaştığı yer.",chapter_07.md
Ch07_Headquarters_Woods,Sakarya: Geyve: Doğançay: Karargâh Dışındaki Ağaçlık,Low,"Peyami'nin Kezban'ı karargâh dışına çıkardığı, para vermeye çalıştığı esnada Mehmet Çavuş'un ateş açıp Peyami'yi kolundan yaraladığı ve Kezban'ı kaçırdığı yer.",chapter_07.md
Ch07_Mobile_Hospital,Sakarya: Geyve: Sarılar Köyü: Ayşe'nin Hastahanesi,Low,Peyami'nin uzaktan dalarak baktığı ve Ayşe'yi beyaz gömleğiyle hayal ettiği yer.,chapter_07.md
Ch07_Sarilar_Village,Konya: Sarılar Köyü,Low,Mehmet Çavuş ve Peyami ceb-hâneyi buraya yığmaya karar verirler. | Peyami at üstünde ilerlerken Ayşe'nin hastanesini görür ve söğüt ağacına yaslanmış olan Kezban ile karşılaşarak onunla konuşur.,chapter_07.md
Ch08_Plain_Near_Town,Konya: Bilinmeyen Nahiye Merkezine Yakın Ova,Low,"İhsan, Peyami, and five horsemen ride towards a village in the plain after being invited under false pretenses of peace by a local delegation.",chapter_08.md
Ch08_Riverbank,Konya: Sarılar: Irmak Kenarı,Low,"The riverbank where soldiers search for the mysterious boy, finding only a discarded Circassian coat and boots.",chapter_08.md
Ch09_Inebolu_Coast,Kastamonu: İnebolu: İnebolu Sahili,Low,"Peyami travels to İnebolu for military intelligence work, feeling detached from the beautiful landscapes because his heart is with his friends.",chapter_09.md
Ch09_Road_to_Hospital,Eskişehir: Merkez: Hastaneye Giden Yol,Low,"Peyami, Cemal, and Haşmet Bey walk Ayşe back to the hospital late at night.",chapter_09.md
Ch10_Ankara_Station,Ankara: Altındağ: Ankara İstasyonu,Low,The narrator departs by train at nine in the evening toward the battlefront.,chapter_10.md
Ch10_Gokcepinar,Ankara: Polatlı: Gökçepınar Mezarlığı,Low,The narrator recalls dreaming of walking through this cemetery and remembers Haşmet Bey offering to bury his amputated legs there.,chapter_10.md
Ch10_Mill_Race,Ankara: Polatlı: Değirmen Harkı,Low,"The travelers cross a frothing, white mill stream with their startled animals.",chapter_10.md
Ch10_Mobile_Hospital,Ankara: Polatlı: Seyyar Hastane,Low,"The travelers pass a dark, dome-like mobile hospital, and the narrator realizes with sorrow how far it is from Ayşe.",chapter_10.md
Ch11_Eskisehir_Station,Eskişehir: Merkez: Eskişehir İstasyonu,Low,"The next morning, Ayşe shakes İhsan's hand in public and departs, leaving him alone in his compartment.",chapter_11.md
Ch11_Polatli,Ankara: Polatlı: Train Compartment,Low,İhsan is forced to leave Ayşe's compartment as the train proceeds.,chapter_11.md
Ch13_Ankara,Ankara: Cebeci: Cebeci Hastahanesi,Low,Bölümün sonunda olayların geçtiği genel mekan ve tarih bilgisi olarak belirtilen şehir.,chapter_13.md
