Name,Ethnicity,Political Stance,Affiliation Quotes,Importance Rank,Description,literary_analysis
Cesur Yaralı Çavuş,Turk,Nationalist,"Kumandanın intikamı! Arkadaşlar, arkamdan gelin!",2,Cesur Yaralı Çavuş is a blood-soaked Turkish sergeant who rallies the remaining soldiers to avenge İhsan's fall on the cliffs of Karadağ.,The provided data offers no information regarding Cesur Yaralı Çavuş's narrative function in Ateşten Gömlek.
Hasan,Turk,Apolitical/unclear,"Fakat küçük Hasan kızamık çıkardı. | oğlu Hasan'a bir kurşun isabet etmiş, ölmüş.",1,"Hasan is Ayşe's young son. He caught measles, delaying his family's travel to Istanbul, and was later shot and killed during the Greek invasion of Izmir.","Based on the provided data, Hasan's narrative function cannot be determined. The data offers only his name with no further details."
İhtiyar Ermeni Kadını,Armenian,Apolitical/unclear,"Beyaz saçlı, siyah esvaplı bir ihtiyar Ermeni kadını, yarısı yaya kaldırımın, yarısı şosenin üstünde, gözleri dönmüş, yatıyordu.",1,An elderly Armenian woman killed or severely injured during the British air raid on Mercan.,"Based on the provided data, the narrative function of İhtiyar Ermeni Kadını cannot be determined."
Esmer Hamal,Turk,Apolitical/unclear,"Açık, kıllı esmer göğsü kan içinde bir hamal onun yanına düşmüştü.",1,Esmer Hamal is a porter who is struck down in the street alongside the Armenian woman during the British bombardment.,The provided data does not reveal Esmer Hamal's narrative function.
Yerdeki Çocuk,Turk,Apolitical/unclear,"Yerde küçük bir kan yığını, boğuk bir çocuk hırıltısı vardı.",1,Yerdeki Çocuk is a child mortally wounded during the British air raid on Istanbul.,"Yerdeki Çocuk functions as a symbolic representation of innocent civilian suffering and the human cost of war, underscoring the conflict's devastating impact."
Sürüklenen Çocuğun Annesi,Turk,Apolitical/unclear,"Ta karşıda, yokuşun başında çocuğunun elinden tutup acele giden kadını ayakta, elleriyle başını döver buldum.",1,"Sürüklenen Çocuğun Annesi is a mother who, while fleeing an air raid, beats her head in grief after her child is hit.",She embodies the tragic suffering of mothers and children during wartime.
Enver Paşa,Turk,Nationalist,Bir kısmı Enver Paşa'ya kızıyor,1,Enver Paşa is a prominent Ottoman military leader mentioned by officers in a café debating the war's outcome.,"Based on the provided data, Enver Paşa's narrative function in Ateşten Gömlek cannot be determined as no descriptive or plot information is given."
Ali Kemal Bey,Turk,Collaborator,Ali Kemal Bey'in makalelerini yaşayan Salime Hanım'la,1,"Ali Kemal Bey was a controversial journalist and politician of the period, mentioned as the intellectual source for Salime Hanım's views.","Based on the provided data, Ali Kemal Bey's narrative function cannot be determined."
Alman İmparatoru,Foreigner,Apolitical/unclear,Alman İmparatoru gelse sigaramın verdiği sükûnu bozamaz.,1,Alman İmparatoru is mentioned casually by Peyami to emphasize Peyami's state of calm indifference.,No narrative function can be determined from the provided data.
Fatma,Turk,Apolitical/unclear,"Sen bacaklarını kaybetsen, Fatman seni daha çok sever mi?",1,"Fatma is Salim's beloved from his home village, mentioned by Peyami during a conversation about love and loss.","Based on the provided data, Fatma's exact narrative function in Ateşten Gömlek cannot be determined."
İzmir'den Kaçan Genç Zabit,Turk,Nationalist,"Dün, İzmir'den kaçıp gelen bir genç zâbit haber verdi.",1,"İzmir'den Kaçan Genç Zabit, işgal altındaki İzmir'den kaçmış ve Ayşe'nin ailesinin trajik haberini İstanbul'a getirmiş genç bir zabittir.","This character marks İzmir's occupation, establishing the immediate historical context for the independence struggle."
Hizmetçi,Turk,Apolitical/unclear,"Kimseyi, hatta annemi, hatta hizmetçiyi odaya sokmadım.",1,"Hizmetçi is a household servant in Peyami's home, distressed by the unfolding events.",The Hizmetçi's generic role establishes domestic setting realism and facilitates minor practical scene actions.
Arabacı,Turk,Apolitical/unclear,İhsan arabacının kapısını açtığı bir kupayı gösterdi.,1,Arabacı is a carriage driver hired by İhsan to safely transport Ayşe from the harbor.,"Based on the provided data, Arabacı's narrative function cannot be determined."
Sultanahmet'te Ağlayan Dişsiz İhtiyar,Turk,Anti-occupation,"Sultanahmed bahçesinin parmaklıklarına dayanmış [bir ihtiyar] dişsiz ağzı açık, fersiz gözlerinden, sürülmüş tarla gibi buruşan yanaklarına akan gözyaşlarıyla beraber bağıra bağıra ağlıyordu.",1,An elderly man at the Sultanahmet protest who weeps loudly over the black flags and the occupation.,This character symbolizes the widespread civilian suffering and despair during the occupation. Their public grief in Sultanahmet starkly illustrates the human cost of the conflict.
Bir İki Fransız,Foreigner,Anti-occupation,"ihtilâl havasını koklayan bir iki Fransız, siyah millet bayrağının altına dün karşı karşıya dövüştükleri sakat Türk askerlerinin arasına koşmuşlardı.",1,"Bir İki Fransız refers to French individuals at the rally who, sympathetic to the Turkish national struggle, join the wounded Turkish soldiers.","The provided data contains no information about ""Bir İki Fransız"" to determine their narrative function."
İzmir'de Öldürülen Beş Yaşındaki Çocuk,Turk,Apolitical/unclear,Sırf eğlence için beş yaşında bir çocuğa nişan alıyorlar.,1,"A five-year-old child in Izmir, targeted and shot by a Greek soldier purely for amusement.","The character functions as an example of brutal civilian suffering and wartime atrocities, driving nationalist motivation among the protagonists."
İzmir'deki İtalyan Aile,Foreigner,Apolitical/unclear,"Ayşe Hanım yaralı imiş, çiftlikten, İzmir'de bir İtalyan aileye iltica etmiş.",1,An Italian family in Izmir who compassionately sheltered the wounded Ayşe following the Greek invasion.,The provided data offers no information to determine this character's narrative function.
Yunan Askerleri,Greek,Occupation supporter,"bir sürü Yunan askeri onu kendi kapısının önünde bağırarak, söverek parçalıyorlar. | Ah ordu bir mucize gibi çıksa da Yunan'ı mutlak halkın isyanı bir daha Anadolu'ya gelemez bir hâle koymalıdır, diyordu. | Yunan askerlerinin Madam Tadia'nın oteline hücum ettiklerini rüyamda gördüm. | Onlar da sövüyorlar, bomba ve kurşunla beraber taş, çamur atıyorlar, 'Türkos, Türkos!' diye galiz bir küfürle bağırıyorlar.",1,"The collective Greek army invading Anatolia. These occupying soldiers committed atrocities in Izmir, including looting and killing innocent civilians. As enemy troops, they were entrenched on Karadağ, shouting insults and firing on advancing Turkish forces. They also appeared in Ayşe's feverish dream attacking the hotel.","They represent the primary antagonist force, embodying the invading enemy and driving the central conflict."
Rıhtımdaki Yunan Alaycıları,Greek,Occupation supporter,"şapkalı palikaryaların kahkahalarını, alaylarını içimde katılaşan bir şeyle seyrederek bekledim.",1,Greek men at the harbor who mockingly laughed at arriving Turkish refugees.,Narrative function not discernible from provided data.
Ermeni ve Rum Kondüktörler,Christian,Occupation supporter,"İstanbul Türk kadınlarının Ermeni, Rum kondüktörler, Ermeni, Rum, İngiliz polisleri ve hafiyyeleri ile işkence edildiği bu tramvaya nasıl bindirecektik?",1,Ermeni ve Rum Kondüktörler were non-Muslim public transport conductors in Istanbul who participated in mistreating or harassing Turkish women during the occupation.,They represent the multi-ethnic social context as background figures.
"Ermeni, Rum ve İngiliz Polis ve Casusları",Christian,Occupation supporter,"İstanbul Türk kadınlarının Ermeni, Rum kondüktörler, Ermeni, Rum, İngiliz polisleri ve hafiyyeleri ile işkence edildiği bu tramvaya nasıl bindirecektik?",1,"Armenian, Greek, and British security personnel and informants who harassed locals in occupied Istanbul.","These characters collectively embody the antagonistic Armenian, Greek, and British forces. Their presence establishes the external threats faced by Turkish nationalists during the War of Independence."
Mülki Paşa,Turk,Apolitical/unclear,"Haşmet Bey, genç askerler, hatta o sivil paşa da dahil olduğu hâlde ona dönmüştü.",1,"Mülki Paşa is a civilian pasha present at Salime Hanım's gathering, where he looks on as Ayşe speaks.",Data lacks Mülki Paşa's narrative function.
Yağmacı Yunan Askerleri,Greek,Occupation supporter,"Her evden koltuğunda bir bohça, bir Yunan neferi çıkıyor.",1,Invading Greek soldiers in Izmir were observed looting Turkish houses during the occupation.,"They are the plundering antagonists, fueling Turkish resistance and protagonist motivation."
İzmir'de Öldürülen Dürüst Adam,Turk,Anti-occupation,Haydutluğu alkışlamadığı için işte namuslu bir adamı parçalıyorlar,1,"An honorable resident of Izmir, he was brutally killed by Greek soldiers for refusing to applaud the invasion.",His death embodies innocent suffering under occupation and catalyzes the protagonists' motivation for resistance.
Muhabirler,Foreigner,Apolitical/unclear,"Muhabirlerle konuşmak, çay ziyâfetinde propaganda yapmak yalnız mektepliler ile Şişli hanımlarına kalmıştı.",1,Muhabirler are journalists in Istanbul whom local socialites and students try to influence with propaganda.,"Muhabirler function to report on the Turkish War of Independence, documenting its events and reflecting public perception."
Mektepliler,Turk,Anti-occupation,"Muhabirlerle konuşmak, çay ziyâfetinde propaganda yapmak yalnız mektepliler ile Şişli hanımlarına kalmıştı.",1,Mektepliler are young Turkish students in Istanbul who carry out localized propaganda activities.,Cannot determine narrative function based on the provided data.
Şişli Hanımları,Turk,Anti-occupation,"Muhabirlerle konuşmak, çay ziyâfetinde propaganda yapmak yalnız mektepliler ile Şişli hanımlarına kalmıştı.",1,Şişli Hanımları are high-society ladies from the Şişli district who participate in nationalist tea parties and propaganda.,"Given the provided data lacks any stance, description, or quotes for Şişli Hanımları, their exact narrative function in Ateşten Gömlek cannot be determined."
İngilizler,Foreigner,Occupation supporter,"Evimizin İngilizler tarafından tarassut edildiği, benim tevkif edilmem lâkırdıları, Malta'ya sevk edilen İttihâdcılar annemi korkutmuştu.",1,The British occupation forces in Istanbul who monitor suspected nationalists.,İngilizler's name signifies the external adversary in the narrative's central conflict.
Malta'ya Sevk Edilen İttihatçılar,Turk,Nationalist,Malta'ya sevk edilen İttihâdcılar annemi korkutmuştu.,1,Members of the Committee of Union and Progress who were arrested and exiled to Malta by the British.,"They signify the old regime's collapse, establishing the historical context for the nationalist movement."
Salime Hanım'ın Kocası,Turk,Collaborator,"Salime Hanım, kocasının dostları, bizim salonu birer birer terk etmişlerdi.",1,"Salime Hanım'ın Kocası is Salime Hanım's husband, whose associates visited the narrator's house.","Salime Hanım'ın Kocası's narrative function, based solely on the provided data, is to establish Salime Hanım's marital status."
Salime Hanım'ın Kocasının Dostları,Turk,Collaborator,"Salime Hanım, kocasının dostları, bizim salonu birer birer terk etmişlerdi.",1,"Salime Hanım'ın Kocasının Dostları are the social circle of Salime Hanım's husband, who abandoned the narrator's home as political tensions rose.",These characters exist as unnamed elements of Salime Hanım's husband's social circle. Their implied presence establishes his immediate personal context.
Siyah Gözlü Şehit Çocuk,Turk,Nationalist,"yeşil İzmir'in, siyah gözlü şehit çocuğun mezarının yolunda dövüşecek muhayyel ordunun bir ferdinden başka bir şey değil miydi?",1,"Ayşe's deceased child, killed by the Greek occupation forces, represents the tragedy of Izmir.",Its name signifies the innocent sacrifice and human cost of war.
Yunanlılar,Greek,Occupation supporter,"Hepsi, be-tahsîs Ayşe'nin, Yunanlıların kırdığı sol elini öptüler.",1,The Greek forces occupying Izmir broke Ayşe's left hand during the initial invasion.,"Yunanlılar serve as the primary external antagonist, representing the invading and occupying force against whom the Turkish protagonists wage their struggle for independence, thus driving the central conflict."
İzmir Muhacirlerinin Çocukları,Turk,Apolitical/unclear,eğlenmek için İzmir muhacirlerinin çocuklarına çorap örüyor.,1,"Refugee children displaced from Izmir, for whom Ayşe knits socks.","They symbolize the widespread civilian suffering and displacement from occupied Izmir, highlighting the war's devastating human cost."
Ayşe'nin Vefat Eden Kocası,Turk,Nationalist,Kocası Harbi Umumî'de şehit olmuş dul kadın zannediyorlar.,1,"Ayşe's late husband, martyred in World War I. His martyrdom serves as the cover story Ayşe uses while teaching.","His death traumatizes Ayşe, propelling her into the national struggle."
Ders Verdiği Evlerdeki İnsanlar,Turk,Apolitical/unclear,Ders verdiği evlerde kimse onun hakiki hüviyetini bilmiyor.,1,"Families in Istanbul who hire Ayşe as a tutor, unaware of her true identity.",They define Ayşe's teaching role.
Darmadağınık Birkaç Kumandan,Turk,Anti-occupation,Fakat İstanbul'da darmadağınık hâlâ birkaç kumandan var.,1,Darmadağınık Birkaç Kumandan are a few isolated Ottoman commanders remaining in Istanbul under occupation.,They portray military disorganization.
İhtilal Başındakiler,Turk,Nationalist,Lâzım geldiği dakika ihtilâl başındakiler de yine ordudan olacaktır...,1,İhtilal Başındakiler are the current and future military figures leading the nationalist movement.,"Based on the provided data, İhtilal Başındakiler's narrative function cannot be determined."
Padişah,Turk,Ottoman loyalist,"Pâdişâh'ın oyunu anlaşılmıyordu. | Halam, darılma ama, bizim Pâdişâh'a benziyor. İngiliz'e uşak olmayan herkesten vazgeçmiştir. | Üçüncü ve en kuvvetli itikadı da Pâdişâh düşmanlığı idi. 'Artık millet işi eline alsın,' derdi.",1,"The Ottoman Sultan, whose ambiguous and deceptive policies confuse nationalist organizers in Istanbul. He is critically viewed by Ayşe for his submissive stance toward the British occupiers and is an object of deep political hostility for Mehmet Çavuş, who believes he deceived the Turkish nation.","Based on the provided data, the Padişah's narrative function cannot be determined."
Filan Papaz,Christian,Collaborator,Hep filân gün filân papaz yahut filân paşa Saray'ın arka kapısından girmiş çıkmış...,1,Filan Papaz is an unnamed Christian priest rumored to be conducting secret dealings at the Palace.,"Filan Papaz's exact narrative function cannot be determined from the provided data, which contains no descriptive or contextual information."
Filan Paşa,Turk,Collaborator,Hep filân gün filân papaz yahut filân paşa Saray'ın arka kapısından girmiş çıkmış...,1,Filan Paşa is an unnamed Ottoman pasha rumored to be visiting the Palace in connection with collaboration schemes.,The provided data offers no information to determine Filan Paşa's narrative function.
Mister Filan,Foreigner,Occupation supporter,İngiliz Sefareti kâtiplerinden Mister filân Şişli'de siyasî beyanatta bulunmuş...,1,Mister Filan is an unnamed British Embassy clerk who made political statements in Shishli.,No information is provided about Mister Filan's narrative function.
Moda'daki Tüccarlar,Christian,Apolitical/unclear,"Moda'da tüccarların evinde, dedi.",1,Moda'daki Tüccarlar: Wealthy merchants residing in Moda who employ Ayşe for private lessons.,Their narrative function cannot be determined from the provided data.
Talebem Küçük Hanım,Turk,Apolitical/unclear,Talebem küçük hanım masa başında duramaz oldu.,1,"Talebem Küçük Hanım is Ayşe's young student in Moda, who gets distracted by Salime Hanım's arrival in an English tugboat.",Her exact narrative function cannot be determined from the provided data.
İngiliz Mürebbiye,Foreigner,Apolitical/unclear,"Bu çocuğa bir İngiliz mürebbiye alsanıza, dedi.",1,İngiliz Mürebbiye: A British governess suggested by Salime Hanım for the young student in Moda.,Cannot determine narrative function from provided data.
Zenci Fransız Askerler,Foreigner,Occupation supporter,"Birkaç zenci Fransız asker camdan bize bakıyor, kırmızı dillerini çıkarıyorlar, yumruklarını sallıyorlardı.",1,"Black colonial soldiers serving in the French occupation army, sighted in Sirkeci.","They represent the diverse foreign occupying forces, emphasizing the invasion's oppressive nature."
Pangaltı'daki Bazı Hanım Dostlar,Turk,Apolitical/unclear,"Pangaltı'da ineceğim. Bazı hanım dostlara veda edeceğim, dedi.",1,Social acquaintances in Pangaltı whom İhsan plans to visit to say his final goodbyes before departing.,Their exact narrative function cannot be determined from the provided data.
Peyami'nin Neferi,Turk,Nationalist,Bunları defterime aldıktan sonra hepsini gözümün önünde neferime yaktıracağım.,1,"**Peyami'nin Neferi:** A soldier under Peyami's command, instructed by him to burn Ayşe's letters.",No information is provided to determine their narrative function.
Gökçepınar'da Yatan Şehit,Turk,Nationalist,Ta ki Gökçepınar'da yatanın yazılarına benden sonra hiçbir insan gözü bakmasın.,1,"Gökçepınar'da Yatan Şehit is a deceased person buried in Gökçepınar, whose writings Peyami wishes to protect from other people's eyes.",It symbolizes the ultimate sacrifice of Turkish martyrs during the War of Independence.
Göz Tabibi Esat Paşa,Turk,Anti-occupation,"Nuruosmaniye'de göz tabibi Esat Paşa'yı tahkirle, hatta gecelik ile götürdüklerini, hafif de yaralı olduğunu söyledi.",1,Göz Tabibi Esat Paşa was a notable ophthalmologist who was insulted and arrested in his nightgown by British forces.,"Göz Tabibi Esat Paşa's sole narrative function, based purely on the provided data, is to identify a high-ranking eye doctor."
Hamal,Turk,Anti-occupation,"Bir hamala sordum. Gözleri kan içinde, bıyıklarının telleri ayağa kalkmış, etrafına bakınıyordu.",1,"Hamal, a street porter, angrily informs Ayşe that British soldiers bayoneted sleeping Turkish soldiers.","Based on the provided data, Hamal's exact narrative function cannot be determined."
Anadolu'daki Paşa,Turk,Nationalist,Bî-çâre kadın hep Anadolu'daki Paşa'nın gelip İstanbul'u kurtaracağını söylüyordu.,1,"Anadolu'daki Paşa is Mustafa Kemal Pasha, based in Anatolia, whom people expect to come and save Istanbul from occupation.","Based solely on the provided data, this character's narrative function cannot be determined. The information offered provides no insight into their role or purpose within the story."
İngiliz Zabiti,Foreigner,Occupation supporter,Biri arkamdan yürüdü. Bozuk bir Fransızca ile daha bazı eşya almama müsaade edeceklerini söyledi...,1,İngiliz Zabiti is a British officer who demonstrates courtesy towards Ayşe by speaking broken French and offering her the opportunity to take more belongings.,"The İngiliz Zabiti embodies the occupying foreign military, serving as an antagonist to Turkish independence."
Hintli,Foreigner,Apolitical/unclear,İngiliz kadınına hakaret etti diye [bir] Hintli'yi İngilizler dört ayak hayvan gibi yerde yürütmüşlerdi.,1,Hintli is an Indian subject who was humiliated by the British for allegedly insulting a British woman.,"Based on the provided data, Hintli's exact narrative function cannot be determined."
Kocası (Genç Zabit),Turk,Nationalist,"Bana kocasının genç bir zâbit olduğunu, çete yazılıp gittiğini...",1,"A young officer and the husband of the evicted woman, he joined the nationalist resistance forces.","Kocası (Genç Zabit) is Ayşe's young officer husband, whose death propels her into the Turkish War of Independence effort."
"Şişman, Kırmızı Yanaklı Oğlan",Turk,Apolitical/unclear,"Çocuk şişman, kırmızı yanaklı bir oğlan, gözleri simsiyah.",1,"Şişman, Kırmızı Yanaklı Oğlan is the young child of the evicted woman. He was assisted by Ayşe and his mother as they took a ferry to Üsküdar.","Based on the provided data, the narrative function of Şişman, Kırmızı Yanaklı Oğlan cannot be determined. No information regarding their role or interactions is present."
Üsküdar'daki Amcası,Turk,Apolitical/unclear,Üsküdar'da bir amcası varmış.,1,"The uncle of the young woman with the child, living in Üsküdar.",The provided data assigns no narrative function to this character.
Evin Sahibi,Turk,Nationalist,"Sahibinin, ağzı sakızlı, yüreği elmas gibi parlak, fedakâr bir genç karısı, başörtüsü temiz, iyi bir anası var.",1,Evin Sahibi is the owner of the safe house in Üsküdar where Seyfi and Ayşe stay.,"Based on the name ""Evin Sahibi"" (House Owner), their narrative function is to own the story's house."
General Wilson,Foreigner,Occupation supporter,Sokaklar General Wilson'un 'ölüm' tehdidi ile doluymuş...,1,General Wilson is the British military commander in Istanbul who threatens nationalists with death.,The provided data offers no information regarding General Wilson's narrative function in *Ateşten Gömlek*.
Memleketlisi Bir Polis,Turk,Apolitical/unclear,Memleketlisi bir polis ona bazı şeyler söylemiş.,1,Memleketlisi Bir Polis is a policeman from Ahmed Ağa's hometown who informs Ahmed Ağa about the search for Ayşe in Üsküdar.,"He functions as a familiar, personal link from a shared hometown in an official police encounter."
Mustafa Paşa,Turk,Collaborator,"Mustafa Paşa Divanı Harbi mutlak onu da idama, hiç olmazsa beş on seneye mahkûm edecekti.",1,"Mustafa Paşa was the head of the military tribunal (Divan-ı Harp) in occupied Istanbul, notorious for sentencing nationalists.",The provided data offers no information regarding Mustafa Paşa's narrative function.
İki Siyah Gözlü Kadın,Turk,Apolitical/unclear,Deniz son beyaz nazlı köpüğü ile kıvrılıp giderken son defa olarak iki siyah kadın gözü düşündüm.,1,"An elderly woman with dark eyes, she curses Peyami in his memory, warning him of a life of hunger and longing.","The provided data offers no information regarding ""İki Siyah Gözlü Kadın's"" narrative function. Her role cannot be determined from the given details."
Ermeni ve Rum Çocukları,Christian,Occupation supporter,"Dün üniformasıyla bana gelirken sokaklarda Ermeni, Rum çocukları büyüklü küçüklü hücum etmişler, taşlamışlar.",1,Ermeni ve Rum Çocukları are Armenian and Greek children in occupied Istanbul who stoned Lieutenant Seyfi.,"The provided data lacks sufficient information to determine the exact narrative function of Ermeni ve Rum Çocukları. No description, stance, or quotes are offered to define their specific role."
Üç Kaçacak Genç Zabit,Turk,Nationalist,Seyfi ile ve diğer üç kaçacak genç zâbitle dün akşam müzakere ettik.,1,Three young officers who plot their escape to Anatolia alongside Seyfi and Ayşe.,Their exact narrative function is to be the three young officers who escape.
Yaralı Arkadaş,Turk,Nationalist,"Karşıdan bir tek kişi bîruh sazlar arasında kalmıştı, bizim arkadaşlardan birinin bacağından bir kurşun geçti.",1,"Yaralı Arkadaş is a member of Ahmed Rıfkı's detachment, shot in the leg during the reed-bed ambush, and whose wound was dressed by Ayşe.","Yaralı Arkadaş's function is to embody a state of injury, illustrating physical harm, and to establish a personal relationship as a friend, providing emotional stakes for other characters."
Köy İmamı,Turk,Apolitical/unclear,Sabahleyin köyün imamıyla küçük cemaat onu mezarlığa götürürken...,1,Köy İmamı is the local religious leader who conducts the burial of the young officer Ahmed Rıfkı.,The Köy İmamı's name solely establishes a village's background religious context within the narrative.
Kezban'ın Babası,Turk,Nationalist,"Ve her zaman Letafet Apartımanı'nda İngilizlerin öldürdüğü bir çavuşun kızı olan öksüz Kezban hakkında bize ma'lûmat verir. | Babasını öldüren ve kendini aç, çıplak bırakan gâvurlarla artık o da dövüşmek istiyordu.",1,"Kezban's father was a Turkish sergeant martyred by the British at the Letafet Apartment in Istanbul during the enemy occupation, leaving Kezban orphaned.",His function is solely to establish Kezban's parentage within the narrative.
Müfrezedeki Gençlerden Biri,Turk,Nationalist,"Hatta gençlerden biri: — Beraber alsak olmaz mı efendim, diyecek oldu.",1,Müfrezedeki Gençlerden Biri is a sympathetic young soldier in the unit who suggests taking Kezban along after she breaks down in tears.,"This unnamed figure represents the collective, anonymous youth populating the detachment, contributing to the setting's realism."
İstanbullu Genç Kadın,Turk,Nationalist,Fakat geçende buradan geçenler arasından İstanbullu yirmi yaşında genç kadın kocasıyla tüfeği omzunda İzmir yolu üzerinde gülerek gitmiş.,1,"A 20-year-old woman from Istanbul, she passed through the region with her husband, carrying a rifle on her shoulder to fight for Izmir.","Based on the provided data, this character has no discernible narrative function. No information is given to define her role."
İstanbullu Genç Kadının Kocası,Turk,Nationalist,Fakat geçende buradan geçenler arasından İstanbullu yirmi yaşında genç kadın kocasıyla tüfeği omzunda İzmir yolu üzerinde gülerek gitmiş.,1,"The husband of the 20-year-old Istanbul woman, he accompanied her on their journey to the front lines.",He establishes the Young Istanbul Woman's marital status.
Ahmet Çavuş,Turk,Nationalist,Ben Ahmed Çavuş'u göndereceğim. Ayşe Hanım fazla muhafaza sevmiyor.,1,Ahmet Çavuş is a nationalist sergeant offered by İhsan to guard and accompany Ayşe to Eskişehir.,"Based on the provided data, Ahmet Çavuş's exact narrative function in Ateşten Gömlek cannot be determined. The data contains no descriptive or contextual information."
Halife Yanlısı Türk ve Çerkes Çeteciler,Muslim,Ottoman loyalist,"Çerkes köyleri etrafında Türk, Çerkes, Rum, hatta Ermeni bir hayli eşkıya Halife ordusuna iltihak etmiş, bizim kuvvetlerle yer yer vuruşuyorlardı.",1,Pro-Caliphate local bandits of Turkish and Circassian origin who clash with the Nationalist forces around Adapazarı.,"They represent an internal, pro-Caliphate opposition to the nationalist forces during the Turkish War of Independence."
Halife Yanlısı Rum ve Ermeni Çeteciler,Christian,Ottoman loyalist,"Çerkes köyleri etrafında Türk, Çerkes, Rum, hatta Ermeni bir hayli eşkıya Halife ordusuna iltihak etmiş, bizim kuvvetlerle yer yer vuruşuyorlardı.",1,Pro-Caliphate local bandits of Greek and Armenian descent who joined the Caliphate army against the Nationalists.,"They function as antagonists, embodying pro-Caliphate Greek/Armenian threats to the Turkish nationalist cause."
Bulgar Çeteciler,Christian,Apolitical/unclear,"Bunlar arasında Rumeli dağlarında Bulgar eşkıyasıyla senelerce vuruşmuş, pişmiş...",1,Bulgar Çeteciler are Bulgarian bandits operating in the Rumelian mountains whom some Istanbul youths in the detachment had previously fought.,Establishes a historical external antagonist.
İstanbul Muhacirleri,Turk,Apolitical/unclear,"Bir alay isyanla, acılıkla dolu İstanbul mültecisi kadın, erkek buralardan gelip geçmişlerdi.",1,"The İstanbul Muhacirleri were a bitter, rebellious group of female and male refugees from occupied Istanbul who passed through the local villages.","The Istanbul Muhacirleri illustrate the civilian displacement and suffering caused by the Allied occupation, symbolizing widespread societal support for the nationalist struggle."
Fişeklikli Asker,Turk,Apolitical/unclear,"Bazan bir palaskalı asker, fişek kemerli, başı Laz başlıklı insanlar birer ikişer sırtların üstünde görünüp kayboluyorlardı.",1,"Fişeklikli Asker is an armed man, wearing a cartridge belt and a Laz headpiece, who was briefly spotted walking along the ridges.","Based on the provided data, the exact narrative function of Fişeklikli Asker cannot be determined. The data only supplies the name."
Mustafa Kemal Paşa,Turk,Nationalist,...Mustafa Kemal Paşa ile Atina'yı zapta gideceği günkü muhayyel icraatını anlatırdı.,1,"Mustafa Kemal Paşa is the leader of the Turkish national resistance, mentioned by Mehmet Çavuş in his imaginary conquests of Athens.","Based on the provided data, Mustafa Kemal Paşa's exact narrative function cannot be determined."
Köroğlu,Turk,Apolitical/unclear,"Düşünüyorum ki Köroğlu, Çamlıbel'den bu akşam kalksa gelse kafası böyle olur, gözleri böyle parlar.",1,Köroğlu is a legendary Turkish folk hero who serves as a physical and mythic comparison for Mehmet Çavuş's rugged appearance.,"The provided data offers no details regarding Köroğlu's role. Consequently, his exact narrative function in Ateşten Gömlek cannot be determined from the given information."
Adsız Muhacir,Muslim,Anti-occupation,Sakarya'yı geçerken Mehmet Çavuş'u bir muhacirin ot yüklü arabasının otları altına sakladık. Her yerde Rumeli köylüleri gördükleri faciaya aşina bir gözle millî kuvvetlere taraftar oldular.,1,Adsız Muhacir is a displaced refugee from Rumelia who assists the nationalist mission by hiding Mehmet Çavuş in his hay cart.,The provided data offers no information regarding Adsız Muhacir's narrative function in Ateşten Gömlek.
Kızıl Yoldaki Çerkes Adam,Muslim,Apolitical/unclear,"Solda kırmızı topraklı geniş bir yolda Çerkes kostümüyle ince belli, geniş omuzlu, bülend bir mahlûk etrafı kollayarak yavaş yavaş ilerliyordu.",1,"A tall, traditionally dressed Circassian man observed walking cautiously down the road of a quiet village at night.","Based on the provided data, the exact narrative function of ""Kızıl Yoldaki Çerkes Adam"" cannot be determined. The given information offers no details on his actions, interactions, or plot involvement."
Balkondaki Çerkes Kızı,Muslim,Apolitical/unclear,...bir efsane gibi görünen beyazlı bir kız balkonun yeşil parmaklıklarına dayanmış sükût içinde uzaklara bakıyordu.,1,"An unnamed young woman in white stands on a balcony, evoking a poetic sense of brotherhood and beauty in Peyami's mind.","The Balkondaki Çerkes Kızı functions as a fleeting, observed background detail. Her momentary presence contributes to establishing the scene's atmosphere or setting."
Kezban'ın Ağası,Turk,Nationalist,İhsan'ın kuvvetleri arasında onun da bir ağası vardı.,1,"Kezban'ın Ağası, Kezban's brother, joined İhsan's nationalist forces, leaving Kezban with her abusive aunt.","Based on the provided data, Kezban'ın Ağası's exact narrative function cannot be determined. The data offers no description, stance, or quotes to establish a role."
Elek Köyü'ndeki Kadın,Turk,Nationalist,"Dün Elek Köyü'ne vadımdı, bir garı bana arvatların da asker olduğunu dedi.",1,An unnamed village woman who informed Kezban that women could also serve as soldiers.,"Based on the provided data, this character's narrative function cannot be determined."
Rahime Çavuş,Turk,Nationalist,"Şehit olan Rahime Çavuş, hâlâ harb eden Ayşe Çavuş, Atiye Çavuş, hep bu kadın çavuşların askerî menâkıbını...",1,"Rahime Çavuş is a martyred female nationalist fighter, mentioned by Mehmet Çavuş as an inspirational figure.",Her exact narrative function cannot be determined from the provided data.
Atiye Çavuş,Turk,Nationalist,"Atiye Çavuş, hep bu kadın çavuşların askerî menâkıbını...",1,Atiye Çavuş is a female nationalist fighter mentioned by Mehmet Çavuş.,The provided data offers no narrative function for Atiye Çavuş.
